一级模块,二级模块,三级模块,四级模块,五级模块,功能点名称
大模型MaaS门户,首页,模型应用,模型详情,,首页模型详情新增
大模型MaaS门户,首页,模型应用,模型详情,,首页模型详情修改
大模型MaaS门户,首页,模型应用,模型详情,,首页模型详情删除
大模型MaaS门户,首页,模型应用,模型评价信息,,首页模型评价信息
大模型MaaS门户,首页,模型应用,模型评价信息,,首页模型评价展示
大模型MaaS门户,首页,模型应用,模型评价信息,,首页模型评价修改
大模型MaaS门户,首页,模型应用,模型评价信息,,首页模型评价新增
大模型MaaS门户,首页,模型应用,模型对比,多模型对比查看,多个模型的性能指标展示
大模型MaaS门户,首页,模型应用,模型对比,性能图表查看,查看模型在不同任务上的性能图表
大模型MaaS门户,首页,模型应用,模型对比,差异分析查看,查询分析模型间的优缺点
大模型MaaS门户,首页,模型应用,模型对比,推荐模型提醒,根据用户需求推荐相似模型
大模型MaaS门户,首页,模型应用,模型对比,模型版本查看,用户选择模型查看相关版本情况
大模型MaaS门户,首页,模型应用,模型版本管理,版本历史查看,查看模型的迭代历程
大模型MaaS门户,首页,模型应用,模型版本管理,版本对比信息查询,查看不同版本的性能差异
大模型MaaS门户,首页,模型应用,模型版本管理,版本下载,下载指定版本的模型文件
大模型MaaS门户,首页,模型应用,模型版本管理,版本更新通知,收到模型更新的消息提醒
大模型MaaS门户,首页,模型应用,模型下载与安装,模型文件下载,提供模型文件的下载
大模型MaaS门户,首页,模型应用,模型下载与安装,API集成列表查看,查看通过API调用模型服务
大模型MaaS门户,首页,模型应用,模型下载与安装,容器镜像安装,查看Docker等容器化模型部署文档
大模型MaaS门户,首页,模型应用,模型下载与安装,安装指南查看,详细的安装步骤和要求展示
大模型MaaS门户,首页,模型应用,模型使用指南,详细教程视频查看,实例代码和使用流程展示
大模型MaaS门户,首页,模型应用,模型使用指南,常见问题（FAQs）查看,查看关于模型使用的常见疑问
大模型MaaS门户,首页,模型应用,模型评价与反馈,用户评分,用户模型打分信息
大模型MaaS门户,首页,模型应用,模型评价与反馈,反馈提交,用户提交使用体验和改进建议
大模型MaaS门户,首页,模型应用,模型评价与反馈,评价展示,展示平均评分和用户评价
大模型MaaS门户,首页,模型应用,模型评价与反馈,反馈回复,模型评价回复
大模型MaaS门户,首页,模型应用,模型评价与反馈,匿名评价,匿名提交评价
大模型MaaS门户,首页,模型应用,模型问答,提问功能,门户首页用户问题编辑
大模型MaaS门户,首页,模型应用,模型问答,提问功能,门户首页用户问题发布
大模型MaaS门户,首页,模型应用,模型问答,专家回答,用户问题专家编辑
大模型MaaS门户,首页,模型应用,模型问答,专家回答,用户问题专家发布
大模型MaaS门户,首页,模型应用,模型问答,问题分类,按照问题类型分类展示
大模型MaaS门户,首页,模型应用,模型问答,热门问题,显示被频繁询问的问题
大模型MaaS门户,首页,模型应用,模型问答,问题搜索,搜索已有的问题和答案
大模型MaaS门户,首页,模型应用,模型推荐,热门推荐,推荐当前热门的模型
大模型MaaS门户,首页,模型应用,模型推荐,领域推荐,根据领域偏好推荐模型
大模型MaaS门户,首页,模型应用,模型推荐,场景匹配推荐,依据应用场景推荐模型
大模型MaaS门户,首页,模型应用,模型推荐,新手推荐,查看推荐给初学者的模型示例
大模型MaaS门户,首页,模型统计,统计分析,,统计平台各场景下的模型应用工具数量
大模型MaaS门户,首页,模型统计,统计分析,,展示平台各场景下的模型应用工具排名前五
大模型MaaS门户,首页,模型统计,统计分析,,统计平台各场景模型应用工具使用数量
大模型MaaS门户,首页,模型统计,统计分析,,统计平台模型应用工具应用销售总额
大模型MaaS门户,首页,模型统计,统计分析,,实时CPU使用率图表展示（折线图）
大模型MaaS门户,首页,模型统计,统计分析,,实时内存占用图表展示（折线图）
大模型MaaS门户,首页,模型统计,统计分析,,实时网络带宽图表展示（折线图）
大模型MaaS门户,首页,模型统计,统计分析,,历史CPU使用率统计（按时段）
大模型MaaS门户,首页,模型统计,统计分析,,历史内存占用（按时段）
大模型MaaS门户,首页,模型统计,统计分析,,历史网络带宽（按时段）
大模型MaaS门户,首页,模型统计,统计分析,,展示平台算料交易的数量
大模型MaaS门户,首页,模型统计,统计分析,,展示平台算料交易金额
大模型MaaS门户,首页,模型统计,统计分析,,展示平台用户在线数量
大模型MaaS门户,首页,模型统计,统计分析,,门户网站最新公告
大模型MaaS门户,首页,模型统计,统计分析,,用户中心交易异常告警
大模型MaaS门户,首页,学习资源,,,学习资源信息
大模型MaaS门户,首页,学习资源,,,学习资源新增
大模型MaaS门户,首页,学习资源,,,学习资源展示
大模型MaaS门户,首页,学习资源,,,学习资源编辑
大模型MaaS门户,首页,学习资源,,,学习资源删除
大模型MaaS门户,首页,合作伙伴展示,,,合作伙伴展示信息
大模型MaaS门户,首页,合作伙伴展示,,,合作伙伴展示新增
大模型MaaS门户,首页,合作伙伴展示,,,合作伙伴展示展示
大模型MaaS门户,首页,合作伙伴展示,,,合作伙伴展示编辑
大模型MaaS门户,首页,合作伙伴展示,,,合作伙伴展示删除
大模型MaaS门户,首页,快速访问,,,快速访问信息
大模型MaaS门户,首页,快速访问,,,快速访问新增
大模型MaaS门户,首页,快速访问,,,快速访问展示
大模型MaaS门户,首页,快速访问,,,快速访问编辑
大模型MaaS门户,首页,快速访问,,,快速访问删除
大模型MaaS门户,首页,内容展示模块,模型训练模块,,模型训练功能概述
大模型MaaS门户,首页,内容展示模块,模型训练模块,,模型训练案例展示
大模型MaaS门户,首页,内容展示模块,模型服务模块,,模型服务功能概述
大模型MaaS门户,首页,内容展示模块,模型服务模块,,模型服务案例展示
大模型MaaS门户,首页,内容展示模块,AI应用开发模块,,查看AI应用描述
大模型MaaS门户,首页,内容展示模块,AI应用开发模块,,开发案例展示
大模型MaaS门户,首页,内容展示模块,模型社区模块,,社区活动展示
大模型MaaS门户,首页,内容展示模块,模型社区模块,,社区讨论区访问
大模型MaaS门户,AI应用搜索,AI应用搜索,,,关键字搜索
大模型MaaS门户,AI应用搜索,AI应用搜索,,,AI应用类别搜索
大模型MaaS门户,AI应用搜索,AI应用搜索,,,模糊搜索提示
大模型MaaS门户,AI应用搜索,AI应用搜索,,,历史搜索信息下拉展示
大模型MaaS门户,AI应用搜索,搜索结果展示,,,结果列表展示
